Equipment Repair,اصلاح المعدات,
Ongoing Repair Equipments,المعدات قيد الفحص,
Under Repair Equipment only Report,المعدات الجاري إصلاحها,
Under Repair Equipment Company Report,المعدات الجاري إصلاحها - طرف خارجي,
Under Repair Equipment Out Report,المعدات الجاري إصلاحها - مأمورية خارجية,
Repaired Equipment Only Report,المعدات التي إصلاحها,
Equipments Delivered,المعدات التي تم تسليمها,
Ongoing Repair Groups,المجموعات قيد الفحص,
Under Repair Groups only Report,المجموعات الجاري إصلاحها,
Under Repair Group Company Report,المجموعات الجاري إصلاحها - طرف خارجي,
Under Repair Group Out Report,المجموعات الجاري إصلاحها - مأمورية خارجية,
Repaired Groups Only Report,المجموعات التي تم إصلاحها,
Groups Delivered,المجموعات التي تم تسليمها,
Ongoing Repair Equipment Detailed,المعدات والمجموعات قيد الفحص,
Under Repair Equipment Report,المعدات والمجموعات الجاري إصلاحها,
Repaired Equipment Report,المعدات والمجموعات التي تم إصلاحها,
Equipment and Groups Delivered,المعدات والمجموعات التي تم تسليمها,
Army Workshop Items Detailed Report,رصيد مخزن قطع الغيار والمتداول,
Army Stock Filters Detailed Report,رصيد مخزن الفلاتر,
Army Item Batteries Detailed Report,رصيد مخزن البطاريات,
Army Item Tires Detailed Report,رصيد مخزن الكاوتش,
Army Stock Entry,تسجيل دخول منتج,
Army Stock Out,تسجيل خروج منتج,
Equipment,المعدات,
Army Department,الأقسام,
Army Unit,الوحدات,
Army Subunit,الوحدات الفرعية,
Army Location,مواقع التواجد,
Manufacture,النوع,
Delegate,المندوب,
ID,باركود,
Technical Team,الفريق الفني,
Army Item Batteries,البطاريات,
Army Stock Filters,الفلاتر,
Army Item Tires,الكاوتش,
Army Workshop Items,قطع الغيار والمتداول,
